UserID,First_Genre,Second_Genre,Third_Genre
8659,Drama,Comedy,Romance
24025,Drama,Thriller,Crime
30494,Drama,Comedy,Thriller
32984,Drama,Comedy,Romance
33940,Drama,Comedy,Thriller
37222,Drama,Thriller,Action
40207,Drama,Romance,Comedy
41190,Drama,Comedy,Romance
45811,Drama,Romance,Comedy
59449,Drama,Comedy,Thriller
59554,Drama,Comedy,Romance
65469,Drama,Comedy,Romance
70648,Drama,Thriller,Comedy
74275,Drama,Thriller,Comedy
75396,Drama,Comedy,Action
83312,Drama,Comedy,Thriller
89020,Drama,Action,Thriller
89258,Drama,Thriller,Crime
97293,Drama,Crime,Comedy
98415,Drama,Thriller,Romance
98787,Drama,Thriller,Crime
101276,Drama,Comedy,Thriller
107720,Drama,Comedy,Romance
141589,Comedy,Drama,Action
147611,Drama,Comedy,Thriller
165352,Drama,Comedy,Action
166928,Drama,Comedy,Romance
172224,Drama,Thriller,Comedy
172359,Drama,Comedy,Crime
176920,Drama,Romance,Comedy
177150,Drama,Action,Thriller
179792,Drama,Comedy,Romance
180711,Drama,Action,Thriller
186059,Drama,Comedy,Romance
194690,Drama,Comedy,Thriller
196541,Drama,Comedy,Romance
208131,Drama,Thriller,Crime
210792,Drama,Thriller,Documentary
222647,Drama,Thriller,Documentary
228291,Drama,Romance,Comedy
229879,Drama,Comedy,Romance
230417,Drama,Thriller,Action
243331,Drama,Romance,Thriller
243443,Comedy,Drama,Action
245739,Drama,Thriller,Crime
248757,Drama,Comedy,Thriller
257255,Drama,Comedy,Crime
258253,Drama,Thriller,Crime
268239,Drama,Thriller,Action
270123,Drama,Comedy,Thriller
